# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1251.0801  -2222.01    0.8645    0.0911  2.3178e-15  2.4427e-16  2.6812e-15
1251.1100  -2214.90    0.8983    0.0928  2.4093e-15  2.4892e-16  2.6820e-15
1251.1399  -2207.78    0.9574    0.0957  2.5685e-15  2.5683e-16  2.6828e-15
1251.1698  -2200.67    1.1885    0.1064  3.1893e-15  2.8565e-16  2.6836e-15
1251.1997  -2193.55    1.0885    0.1019  2.9219e-15  2.7364e-16  2.6844e-15
1251.2296  -2186.44    1.1328    0.1039  3.0419e-15  2.7912e-16  2.6852e-15
1251.2595  -2179.32    0.9197    0.0939  2.4704e-15  2.5211e-16  2.6861e-15
1251.2894  -2172.21    1.1069    0.1028  2.9741e-15  2.7609e-16  2.6870e-15
1251.3194  -2165.10    0.8651    0.0910  2.3252e-15  2.4470e-16  2.6878e-15
1251.3493  -2157.98    1.2983    0.1111  3.4909e-15  2.9870e-16  2.6887e-15
1251.3792  -2150.87    1.0191    0.0986  2.7409e-15  2.6517e-16  2.6896e-15
1251.4091  -2143.75    1.2129    0.1074  3.2634e-15  2.8887e-16  2.6905e-15
1251.4390  -2136.64    1.0900    0.1018  2.9337e-15  2.7410e-16  2.6914e-15
1251.4689  -2129.53    0.9315    0.0943  2.5079e-15  2.5376e-16  2.6924e-15
1251.4988  -2122.41    1.2474    0.1088  3.3596e-15  2.9294e-16  2.6933e-15
1251.5287  -2115.30    1.1062    0.1025  2.9803e-15  2.7615e-16  2.6943e-15
1251.5586  -2108.18    1.1764    0.1056  3.1708e-15  2.8460e-16  2.6952e-15
1251.5885  -2101.07    0.9876    0.0969  2.6627e-15  2.6124e-16  2.6962e-15
1251.6185  -2093.96    1.0278    0.0988  2.7722e-15  2.6643e-16  2.6972e-15
1251.6484  -2086.84    1.0243    0.0986  2.7636e-15  2.6604e-16  2.6981e-15
1251.6783  -2079.73    0.9722    0.0961  2.6241e-15  2.5938e-16  2.6991e-15
1251.7082  -2072.61    1.1086    0.1025  2.9933e-15  2.7667e-16  2.7002e-15
1251.7381  -2065.50    1.0255    0.0986  2.7700e-15  2.6634e-16  2.7012e-15
1251.7680  -2058.38    0.8695    0.0909  2.3495e-15  2.4569e-16  2.7022e-15
1251.7979  -2051.27    1.0016    0.0974  2.7076e-15  2.6343e-16  2.7032e-15
1251.8278  -2044.16    1.1795    0.1056  3.1897e-15  2.8560e-16  2.7043e-15
1251.8577  -2037.04    0.9654    0.0957  2.6117e-15  2.5886e-16  2.7054e-15
1251.8876  -2029.93    1.0348    0.0990  2.8007e-15  2.6785e-16  2.7064e-15
1251.9176  -2022.81    0.9326    0.0940  2.5249e-15  2.5457e-16  2.7075e-15
1251.9475  -2015.70    0.9702    0.0958  2.6280e-15  2.5961e-16  2.7086e-15
1251.9774  -2008.59    1.0493    0.1127  2.8433e-15  3.0531e-16  2.7097e-15
1252.0073  -2001.47    1.0347    0.1333  2.8049e-15  3.6142e-16  2.7108e-15
1252.0372  -1994.36    1.2949    0.1474  3.5117e-15  3.9980e-16  2.7119e-15
1252.0671  -1987.24    1.0589    0.1373  2.8727e-15  3.7238e-16  2.7130e-15
1252.0970  -1980.13    0.9999    0.1330  2.7138e-15  3.6112e-16  2.7142e-15
1252.1269  -1973.02    1.1874    0.1409  3.2241e-15  3.8258e-16  2.7153e-15
1252.1568  -1965.90    0.9692    0.1319  2.6327e-15  3.5842e-16  2.7165e-15
1252.1867  -1958.79    0.9691    0.1265  2.6337e-15  3.4386e-16  2.7176e-15
1252.2167  -1951.67    0.9734    0.1275  2.6465e-15  3.4654e-16  2.7188e-15
1252.2466  -1944.56    1.0880    0.1335  2.9595e-15  3.6301e-16  2.7200e-15
1252.2765  -1937.44    0.8799    0.1224  2.3943e-15  3.3319e-16  2.7212e-15
1252.3064  -1930.33    1.1271    0.1382  3.0683e-15  3.7631e-16  2.7224e-15
1252.3363  -1923.22    1.0747    0.1362  2.9270e-15  3.7090e-16  2.7236e-15
1252.3662  -1916.10    0.8593    0.1218  2.3413e-15  3.3184e-16  2.7248e-15
1252.3961  -1908.99    0.9409    0.1293  2.5649e-15  3.5259e-16  2.7260e-15
1252.4260  -1901.87    0.9492    0.1268  2.5887e-15  3.4594e-16  2.7273e-15
1252.4559  -1894.76    0.9886    0.1255  2.6973e-15  3.4241e-16  2.7285e-15
1252.4858  -1887.65    0.8731    0.1204  2.3834e-15  3.2867e-16  2.7298e-15
1252.5158  -1880.53    0.9700    0.1160  2.6491e-15  3.1673e-16  2.7310e-15
