# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1326.3336  -2093.93    0.9241    0.0772  4.9258e-15  4.1155e-16  5.3306e-15
1326.3635  -2087.22    0.9227    0.0771  4.9233e-15  4.1155e-16  5.3360e-15
1326.3935  -2080.50    0.8720    0.0750  4.6576e-15  4.0050e-16  5.3413e-15
1326.4234  -2073.79    1.0058    0.0804  5.3780e-15  4.2979e-16  5.3467e-15
1326.4533  -2067.08    0.9438    0.0779  5.0511e-15  4.1672e-16  5.3521e-15
1326.4832  -2060.36    1.0430    0.0818  5.5881e-15  4.3801e-16  5.3576e-15
1326.5131  -2053.65    1.0460    0.0818  5.6096e-15  4.3881e-16  5.3631e-15
1326.5430  -2046.94    1.0022    0.0801  5.3805e-15  4.2983e-16  5.3685e-15
1326.5729  -2040.22    1.1000    0.0838  5.9112e-15  4.5023e-16  5.3740e-15
1326.6028  -2033.51    0.9790    0.0791  5.2668e-15  4.2539e-16  5.3795e-15
1326.6327  -2026.80    0.9648    0.0785  5.1954e-15  4.2252e-16  5.3851e-15
1326.6626  -2020.08    1.2106    0.0877  6.5259e-15  4.7294e-16  5.3906e-15
1326.6926  -2013.37    0.9318    0.0771  5.0281e-15  4.1583e-16  5.3962e-15
1326.7225  -2006.66    1.0695    0.0824  5.7774e-15  4.4529e-16  5.4018e-15
1326.7524  -1999.94    1.0869    0.0831  5.8774e-15  4.4916e-16  5.4074e-15
1326.7823  -1993.23    1.0669    0.0823  5.7752e-15  4.4528e-16  5.4130e-15
1326.8122  -1986.52    1.1152    0.0840  6.0426e-15  4.5528e-16  5.4186e-15
1326.8421  -1979.80    0.9293    0.0768  5.0406e-15  4.1635e-16  5.4242e-15
1326.8720  -1973.09    1.0009    0.0796  5.4347e-15  4.3211e-16  5.4298e-15
1326.9019  -1966.38    0.9375    0.0770  5.0960e-15  4.1869e-16  5.4354e-15
1326.9318  -1959.66    1.0451    0.0812  5.6866e-15  4.4199e-16  5.4411e-15
1326.9617  -1952.95    0.9206    0.0763  5.0140e-15  4.1537e-16  5.4467e-15
1326.9917  -1946.24    1.0900    0.0828  5.9432e-15  4.5167e-16  5.4524e-15
1327.0216  -1939.52    1.0211    0.0802  5.5733e-15  4.3758e-16  5.4580e-15
1327.0515  -1932.81    1.0392    0.0808  5.6778e-15  4.4165e-16  5.4637e-15
1327.0814  -1926.10    1.1397    0.0846  6.2335e-15  4.6249e-16  5.4693e-15
1327.1113  -1919.38    1.0169    0.0799  5.5675e-15  4.3738e-16  5.4750e-15
1327.1412  -1912.67    0.9886    0.0787  5.4182e-15  4.3156e-16  5.4806e-15
1327.1711  -1905.96    0.9391    0.0767  5.1519e-15  4.2097e-16  5.4863e-15
1327.2010  -1899.24    1.0787    0.0821  5.9244e-15  4.5102e-16  5.4919e-15
1327.2309  -1892.53    0.9161    0.0757  5.0362e-15  4.1640e-16  5.4976e-15
1327.2608  -1885.82    0.9902    0.0787  5.4495e-15  4.3292e-16  5.5032e-15
1327.2908  -1879.10    1.1111    0.0832  6.1211e-15  4.5852e-16  5.5088e-15
1327.3207  -1872.39    0.9963    0.0788  5.4938e-15  4.3474e-16  5.5145e-15
1327.3506  -1865.68    0.9976    0.0788  5.5071e-15  4.3517e-16  5.5201e-15
1327.3805  -1858.96    0.9163    0.0755  5.0632e-15  4.1745e-16  5.5257e-15
1327.4104  -1852.25    1.0059    0.0791  5.5640e-15  4.3745e-16  5.5313e-15
1327.4403  -1845.54    0.9811    0.0781  5.4321e-15  4.3224e-16  5.5369e-15
1327.4702  -1838.82    0.8968    0.0747  4.9705e-15  4.1380e-16  5.5424e-15
1327.5001  -1832.11    0.8968    0.0746  4.9753e-15  4.1399e-16  5.5480e-15
1327.5300  -1825.40    1.0351    0.0801  5.7484e-15  4.4462e-16  5.5535e-15
1327.5599  -1818.68    1.0749    0.0815  5.9752e-15  4.5319e-16  5.5591e-15
1327.5899  -1811.97    1.0439    0.0803  5.8089e-15  4.4701e-16  5.5646e-15
1327.6198  -1805.26    1.0614    0.0810  5.9118e-15  4.5092e-16  5.5701e-15
1327.6497  -1798.54    1.0381    0.0800  5.7878e-15  4.4609e-16  5.5755e-15
1327.6796  -1791.83    0.9928    0.0782  5.5406e-15  4.3659e-16  5.5810e-15
1327.7095  -1785.12    0.9437    0.0763  5.2721e-15  4.2609e-16  5.5864e-15
1327.7394  -1778.40    0.8945    0.0742  5.0019e-15  4.1516e-16  5.5919e-15
1327.7693  -1771.69    1.0242    0.0793  5.7327e-15  4.4402e-16  5.5972e-15
1327.7992  -1764.98    0.9537    0.0765  5.3431e-15  4.2886e-16  5.6026e-15
1327.8291  -1758.26    1.0502    0.0802  5.8896e-15  4.4997e-16  5.6080e-15
1327.8590  -1751.55    1.0571    0.0805  5.9340e-15  4.5169e-16  5.6133e-15
1327.8890  -1744.84    1.0084    0.0786  5.6656e-15  4.4146e-16  5.6186e-15
1327.9189  -1738.12    1.0754    0.0811  6.0479e-15  4.5590e-16  5.6238e-15
1327.9488  -1731.41    1.0604    0.0805  5.9692e-15  4.5307e-16  5.6291e-15
1327.9787  -1724.70    0.9548    0.0764  5.3794e-15  4.3039e-16  5.6343e-15
1328.0086  -1717.98    1.0449    0.0798  5.8929e-15  4.5027e-16  5.6395e-15
1328.0385  -1711.27    1.0499    0.0800  5.9261e-15  4.5144e-16  5.6446e-15
1328.0684  -1704.56    0.8976    0.0740  5.0710e-15  4.1800e-16  5.6497e-15
1328.0983  -1697.84    0.9762    0.0771  5.5200e-15  4.3583e-16  5.6548e-15
